"","MalesPer100Females","AgeBelow35","Age35to65","Age65andAbove","White","Black","Asian","AmericanIndian","Hawaiian","Hispanic","HighSchool","Bachelors","Poverty","IncomeAbove75K","MedianIncome","AverageIncome","UnemployRate","ManfEmploy","SpeakingNonEnglish","Medicare","MedicareRate","SocialSecurity","SocialSecurityRate","RetiredWorkers","Disabilities","DisabilitiesRate","Homeowner","SameHouse1995and2000","Pop","PopDensity","LandArea","FarmArea","Obama_margin","Obama_margin_percent","Obama_wins"
"MalesPer100Females",1,0.111116434599657,0.0673584295826228,-0.206642893145741,0.0592278122125472,-0.0625352186156122,-0.0311702782683364,0.0219812390984726,0.123942281303909,0.14063336966606,-0.0599101801906516,-0.0934635857084362,0.0243675611761046,-0.0235720465205899,0.00790299613125074,-0.14736267735993,0.00181028753086555,-0.109045653822405,0.0738364229543245,-0.0840258010352586,-0.244834186373851,-0.0859490839514422,-0.232208978774344,-0.0837578824604053,-0.0567975904767436,-0.131477427565062,0.0538538217768036,-0.172505737857575,-0.0598682405184381,-0.0735174169169374,0.0994545782352724,0.0298936773137059,-0.0245402830757572,-0.00302070208860415,-0.00924357145529655
"AgeBelow35",0.111116434599657,1,-0.67730408934493,-0.790994342995237,-0.330016841089814,0.237645857524649,0.208203883530436,0.10067879013335,0.295970439539317,0.25592807871557,-0.0834531132953322,0.174995757215756,0.222651572309595,0.179005470125332,0.0993674274735899,-0.0965856547484187,0.0538969003957717,0.0321416072368171,0.285393705836092,0.096622623433281,-0.589367016264519,0.10210911785044,-0.73409998743941,0.0888671987618499,0.110580721956815,0.0733707037347758,-0.427993421329678,-0.525990642100371,0.137011243913928,0.0637757194200642,0.0929441610110959,0.0481365440046223,0.0479124291192673,0.186994578751139,0.1812020154356
"Age35to65",0.0673584295826228,-0.67730408934493,1,0.0859090566777098,0.171363736530744,-0.124117470924352,-0.00288026905300193,-0.116036095079976,-0.191486821862464,-0.168204025808116,0.162742873594068,0.100988414065865,-0.342772498570314,0.259799248648569,0.310055567005931,0.329412280379646,-0.0846279565724976,-0.00381820759868556,-0.155678953315785,-0.00432412996315967,-0.0127092283919624,-0.00252336185605661,0.128272911967006,0.00262375859748316,-0.0305093938161812,-0.129659808407598,0.350202087744318,0.309124943112933,-0.00982176835606812,0.00226960424170848,-0.0867904650007273,-0.173059205050693,0.00986102861405363,-0.0271666616597807,-0.012512763679194
"Age65andAbove",-0.206642893145741,-0.790994342995237,0.0859090566777098,1,0.304660227383806,-0.218631234918853,-0.280513188105443,-0.0401174095231154,-0.242027944580906,-0.206786174222552,-0.0225554830669108,-0.321505569171157,-0.0159758637808964,-0.458673479017305,-0.392631931431532,-0.143627704828733,-0.00249570763289129,-0.0402710890791585,-0.257759903901634,-0.127881014793814,0.808460204202507,-0.136815567730617,0.887588103356057,-0.123133699018642,-0.12503464988695,0.00880194853062988,0.289491171540191,0.455169997131193,-0.17797851850934,-0.088976153493096,-0.0538551163746761,0.0785513798478127,-0.0736916457639563,-0.231216511631353,-0.235642585838755
"White",0.0592278122125472,-0.330016841089814,0.171363736530744,0.304660227383806,1,-0.925666804194386,-0.151571885526775,-0.192648018915942,-0.0254397027252778,0.0476072932365971,0.416474975338753,0.0284368153728821,-0.576190364499886,-0.0191304362271818,0.173434815997865,0.0773194194583261,-0.303263248960161,-0.0292958402012156,-0.0716031074641226,-0.121804509819003,0.174373178618525,-0.120719926622373,0.216349775377181,-0.110482735557198,-0.138193143103932,-0.572867947569521,0.279798602316731,0.000132299268853396,-0.123460962834572,-0.147838470586818,0.0610859179882549,0.136478136865835,-0.120859455627686,-0.40976399820493,-0.301770347845466
"Black",-0.0625352186156122,0.237645857524649,-0.124117470924352,-0.218631234918853,-0.925666804194386,1,-0.00418665211459792,-0.129720192211306,-0.0595871030539833,-0.138256120087438,-0.446376668198291,-0.109358655350475,0.562489021855734,-0.0600836732605821,-0.233357330314472,-0.133260668373947,0.286619433563584,0.0922811605075853,-0.102872106028501,0.0436220788063408,-0.098194352932943,0.0426839815896608,-0.114428037414463,0.0321847118476553,0.0717052265458599,0.569016438133705,-0.197703990323981,0.089830048901762,0.0423242442371757,0.0949230104131953,-0.184073657384824,-0.238248326481361,0.133539683769077,0.444844298855701,0.338162434218398
"Asian",-0.0311702782683364,0.208203883530436,-0.00288026905300193,-0.280513188105443,-0.151571885526775,-0.00418665211459792,1,-0.0551097349236484,0.373966464004956,0.281277487779941,0.233285199125378,0.547648668983275,-0.197120161607894,0.585044549665957,0.495156755595531,0.51586854476266,-0.08676347699895,-0.124553057471336,0.494057890733178,0.492869731137445,-0.242747917441024,0.486975731147748,-0.409749263893098,0.493831873222931,0.40922072110888,-0.092948193209517,-0.440159134992557,-0.318545488776037,0.503035379905858,0.37377176301014,0.0237619573678171,-0.0273207862527203,-0.0141137598212625,0.0911386333908669,0.0470928567538267
"AmericanIndian",0.0219812390984726,0.10067879013335,-0.116036095079976,-0.0401174095231154,-0.192648018915942,-0.129720192211306,-0.0551097349236484,1,0.0165768891243376,0.0930268100991433,-0.0500077998361086,-0.0645289610171621,0.179191871364572,-0.116557291918519,-0.130732524022801,-0.134342451710616,0.0906405932771231,-0.114801757050942,0.257106848144634,-0.0368844775477268,-0.0493064784932345,-0.0377750721780892,-0.0396361924043333,-0.0395484118127709,-0.014066081388458,0.0893643858868111,-0.000699319317248849,0.0148132091313888,-0.0304497440318781,-0.0293036240269559,0.347149298721153,0.33732769005894,-0.0212157693064099,-0.0990806504575507,-0.105258819711794
"Hawaiian",0.123942281303909,0.295970439539317,-0.191486821862464,-0.242027944580906,-0.0254397027252778,-0.0595871030539833,0.373966464004956,0.0165768891243376,1,0.423730258086951,0.0859336948685936,0.174303362497325,-0.0340250941776988,0.185154414962509,0.153070545674495,0.137126941845466,0.0305521257299569,-0.0684233732370689,0.414400981261675,0.219727881011006,-0.228101059153391,0.224819022625601,-0.303818647522192,0.222803056538409,0.183805135646696,-0.0574802751513086,-0.313053065330848,-0.359919647313568,0.238921418431292,0.08268812581755,0.187688042370989,0.111146367400579,-0.0353237411845251,0.0194001367710336,-0.0153469177718924
"Hispanic",0.14063336966606,0.25592807871557,-0.168204025808116,-0.206786174222552,0.0476072932365971,-0.138256120087438,0.281277487779941,0.0930268100991433,0.423730258086951,1,-0.0675503091199305,0.126908618255491,0.0735992043353815,0.147300207998176,0.0823365029601704,0.0741376406703495,0.0850692714225702,-0.144109971831324,0.880113875879439,0.27618167472069,-0.218092685128523,0.277145730127754,-0.306019054739694,0.275896071730603,0.2720231457934,0.0146740607983091,-0.306133395022127,-0.29519961306864,0.287108351219445,0.147139000835983,0.385614879790453,0.405446888994319,-0.0687783095460376,-0.0456014319567479,-0.116677078460226
